# nmesh EoS output for T=0 and Y=0
# EoS_type = PwPhot
# nrows = 1024   <-- Number of rows
#
# 3 data columns in dimensionless units where G=c=1:
#   col1:  rho0 = baryonic mass density
#   col2:  epsl = kinetic energy per baryonic mass
#   col3:  P    = pressure
#
2.632557538389789e-13  8.114724117769256e-06  7.624780082422112e-19
2.698550565353516e-13  8.186752315619827e-06  7.885294212711889e-19
2.766197907387018e-13  8.259419852718608e-06  8.154709270155852e-19
2.835541034907358e-13  8.332732404081611e-06  8.433329370711694e-19
2.906622457913148e-13  8.406695694684885e-06  8.721469020997836e-19
2.979485752044893e-13  8.481315501018827e-06  9.019453473309115e-19
3.054175585298442e-13  8.556597650200004e-06  9.327619092761505e-19
3.130737745408279e-13  8.632548021303421e-06  9.646313736981747e-19
3.209219167917063e-13  8.709172545806609e-06  9.975897148768944e-19
3.289667964949017e-13  8.786477207811672e-06  1.031674136217297e-18
3.372133454704406e-13  8.864468043823237e-06  1.066923112244640e-18
3.456666191693589e-13  8.943151145190953e-06  1.103376432034577e-18
3.543317997728768e-13  9.022532655889037e-06  1.141075244127053e-18
3.632141993692860e-13  9.102618775846949e-06  1.180062102974859e-18
3.723192632104520e-13  9.183415758728941e-06  1.220381016979092e-18
3.816525730499745e-13  9.264929914820641e-06  1.262077498165927e-18
3.912198505650042e-13  9.347167609696783e-06  1.305198613560576e-18
4.010269608638633e-13  9.430135265553474e-06  1.349793038316646e-18
4.110799160815690e-13  9.513839361874332e-06  1.395911110660642e-18
4.213848790655162e-13  9.598286435430481e-06  1.443604888713855e-18
4.319481671535258e-13  9.683483081168731e-06  1.492928209255558e-18
4.427762560466297e-13  9.769435952211580e-06  1.543936748494075e-18
4.538757837789090e-13  9.856151761189480e-06  1.596688084914066e-18
4.652535547868790e-13  9.943637280018791e-06  1.651241764271242e-18
4.769165440808549e-13  1.003189934078996e-05  1.707659366807598e-18
4.888719015209153e-13  1.012094483643367e-05  1.766004576763314e-18
5.011269562000264e-13  1.021078072094284e-05  1.826343254263509e-18
5.136892209370725e-13  1.030141400959472e-05  1.888743509661292e-18
5.265663968824862e-13  1.039285178094929e-05  1.953275780420698e-18
5.397663782393661e-13  1.048510117529489e-05  2.020012910626655e-18
5.532972571029086e-13  1.057816939686873e-05  2.089030233211357e-18
5.671673284211911e-13  1.067206371385687e-05  2.160405654990241e-18
5.813850950802752e-13  1.076679145883830e-05  2.234219744603173e-18
5.959592731168202e-13  1.086236002967311e-05  2.310555823460501e-18
6.108987970613305e-13  1.095877688950253e-05  2.389500059796230e-18
6.262128254153833e-13  1.105604956808115e-05  2.471141565934915e-18
6.419107462661235e-13  1.115418566177695e-05  2.555572498881620e-18
6.580021830415405e-13  1.125319283445947e-05  2.642888164348936e-18
6.744970004099785e-13  1.135307881816594e-05  2.733187124338046e-18
6.914053103275786e-13  1.145385141332333e-05  2.826571308395714e-18
7.087374782372734e-13  1.155551848963654e-05  2.923146128672329e-18
7.265041294232242e-13  1.165808798697654e-05  3.023020598911358e-18
7.447161555245048e-13  1.176156791515837e-05  3.126307457504029e-18
7.633847212121184e-13  1.186596635527337e-05  3.233123294748661e-18
