# dd2.eos converted to units with G=c=Msun=1
#
# rho0=nB*mB           epsl=(rho-rho0)/rho0    P
#
1.1732509003264155e-09 2.3374771987327847e-05 4.4780472436305712e-13
1.3830769336456291e-09 8.8664632116763897e-05 5.6814454266854429e-13
1.6304285842443402e-09 1.5753777869575991e-04 6.9083254781648113e-13
1.9220169924416589e-09 2.2935130548118465e-04 8.5959140878031871e-13
2.2657535294295756e-09 3.0508641207971365e-04 1.0676322969689631e-12
2.6709644484469388e-09 3.8482635465730830e-04 1.3241126602191056e-12
3.1486439245064395e-09 4.6876052566746651e-04 1.6439331433307225e-12
3.7117523481437220e-09 5.5730109956719787e-04 2.0479767987308530e-12
4.3755679664889763e-09 6.5105578495727734e-04 2.5620891385520679e-12
5.1581014123798479e-09 7.5065918758343564e-04 3.2125471796519241e-12
6.0805843685121067e-09 8.5484691183745909e-04 3.8874036916745559e-12
7.1680456250538637e-09 9.6075189638367142e-04 4.6054981220584478e-12
8.4499901603086364e-09 1.0699554009503398e-03 5.7648227792620369e-12
9.9611996692300970e-09 1.1854792932655123e-03 7.1593318592969364e-12
1.1742676259713605e-08 1.3072244277347878e-03 8.8976246444879932e-12
1.3842754921014358e-08 1.4355678553825690e-03 1.1056675557976039e-11
1.6318414947764280e-08 1.5708366787459127e-03 1.3734875056887740e-11
1.9236825901119372e-08 1.7133890486715764e-03 1.7064466213895416e-11
2.2677170052026381e-08 1.8635086943017409e-03 2.1165085339441926e-11
2.6732790753104158e-08 2.0211755453489744e-03 2.6152613090263442e-11
3.1513725028727415e-08 2.1832712758242945e-03 3.0998916948013125e-11
3.7149689097496300e-08 2.3513262782894895e-03 3.9226316233376566e-11
4.3793597830232819e-08 2.5255566227746495e-03 4.6077672293540335e-11
5.1625713633372929e-08 2.7022577374624657e-03 5.6227669233306002e-11
6.0858537325177064e-08 2.8872575120562072e-03 7.0288132281273595e-11
7.1742573703924754e-08 3.0892116266010294e-03 9.3328699991875705e-11
8.4573128239376726e-08 3.3022251573939787e-03 1.0780028036317858e-10
9.9698319295210083e-08 3.5194014470751878e-03 1.3563502189051375e-10
1.1752852326989811e-07 3.7510315833013674e-03 1.7039742412278779e-10
1.3854750892141323e-07 3.9871012159076180e-03 1.9438146767884782e-10
1.6332556297204341e-07 4.2253557242142303e-03 2.4286836527389043e-10
1.9253496311698906e-07 4.4771100882319281e-03 3.0149773933037492e-10
2.2696821825010625e-07 4.7431165962015243e-03 3.7694730561099015e-10
2.6755957080027220e-07 5.0173405670286275e-03 4.4342780036155166e-10
3.1541034457934573e-07 5.2955753322989629e-03 5.4070538145199623e-10
3.7181882587905553e-07 5.5847310161769581e-03 6.6595900642900347e-10
4.3831548855019079e-07 5.8864028908638399e-03 8.1770387144605073e-10
5.1670451879024589e-07 6.1996768179095607e-03 9.9760978913010722e-10
6.0911276628931602e-07 6.5227594470476102e-03 1.2080024065248971e-09
7.1804744987577268e-07 6.8568077602790822e-03 1.4834059786601922e-09
8.4646418333022189e-07 7.1853668838286477e-03 1.6049525586921556e-09
9.9784716704287374e-07 7.4853292419672091e-03 1.7155649062581012e-09
1.1763037212728123e-06 7.7579999250958487e-03 1.8443237724052197e-09
1.3866757258837913e-06 8.0066724371743447e-03 1.9829009913899450e-09
1.6346709901374082e-06 8.2354762805592063e-03 2.1751503700371103e-09
1.9270181168663089e-06 8.4496827646740602e-03 2.4189740934931529e-09
2.2716490627993779e-06 8.6527522099255627e-03 2.7198194685666049e-09
2.6779143482621048e-06 8.8474558644100476e-03 3.0940107122654039e-09
3.1568367553176763e-06 9.0363236374153555e-03 3.5604336888076175e-09
3.7214103976820961e-06 9.2216977903831765e-03 4.1465740401983553e-09
4.3869532767723806e-06 9.4050600583872601e-03 4.8421348875849649e-09
5.1715228894321933e-06 9.5880543043058708e-03 5.7469704531933032e-09
6.0964061635956346e-06 9.7729809809761203e-03 6.8760727664000764e-09
7.1866970148144016e-06 9.9612555324548602e-03 8.2822071214300254e-09
8.4719771939014168e-06 1.0154095630662940e-02 1.0028174573287539e-08
9.9871188984359266e-06 1.0352502370085226e-02 1.2186604025972450e-08
1.1773230924570446e-05 1.0557317065843064e-02 1.4853444303180089e-08
1.3878774030112904e-05 1.0769416998153813e-02 1.8165520396531580e-08
1.6360875770893250e-05 1.0989581204129628e-02 2.2242474506788674e-08
1.9286880484531112e-05 1.1218301241981310e-02 2.7244835920799664e-08
2.2736176475733932e-05 1.1455997575097410e-02 3.3384146273525788e-08
2.6802349978282786e-05 1.1703222293268700e-02 4.0960923713886598e-08
